symbol,timestamp,price,rsi,macd,macd_signal,ema_trend,bollinger_pos,momentum,volatility,volume_relative_%,sentiment_score,signal
BTC-USDT,2025-05-12 19:00:00,101886.7,33.5739077283866,-501.6189832696691,-233.44197525464102,0,0.012001096852883248,-0.886206598007543,0.0025919252769788237,32.79463142786344,0.0,NEUTRO
ETH-USDT,2025-05-12 19:00:00,2451.97,40.31506017932395,-9.583909807968212,2.8927367373725383,0,0.041686378619022045,-2.161100980396081,0.006989876588841648,40.1625453501478,0.0,NEUTRO
SOL-USDT,2025-05-12 19:00:00,170.815,41.20086902161004,-0.3082789325673616,0.3484915721526526,0,-0.007758769054536643,-2.881460971213825,0.002247230567029801,25.905779108271364,0.0,NEUTRO
XRP-USDT,2025-05-12 19:00:00,2.48426,52.851694328371245,0.03894288184661532,0.03717795335502553,1,0.5625779561545705,-2.372830734406434,0.007045336619535547,27.7789536922485,0.0,NEUTRO
ADA-USDT,2025-05-12 19:00:00,0.7992,42.77277651491175,0.0003220558733877388,0.004243566850599103,1,0.08476887114507484,-2.417582417582409,0.006929570366637439,33.1661353749762,0.0,NEUTRO
DOGE-USDT,2025-05-12 19:00:00,0.2271,40.12796759498841,-0.0013619565129885658,0.0008552920750102763,0,0.07327828273641657,-3.118467642165441,0.012032085561497263,30.38945316252416,0.0,NEUTRO
DOT-USDT,2025-05-12 19:00:00,5.027,42.233558777113046,-0.009768422542021149,0.018507354125111862,0,0.11372252743584008,-2.032623311831315,0.009113537819174455,50.048853754906354,0.0,NEUTRO
TRX-USDT,2025-05-12 19:00:00,0.2717,54.943137900248175,0.002449888427804081,0.0024920545961438327,1,0.5959514313845488,-1.1640596580574685,0.0044362292051756125,28.21805748809682,0.0,NEUTRO
LTC-USDT,2025-05-12 19:00:00,101.541,50.64704686880198,-0.01840658194097955,0.08596025795331631,0,0.5040253628930315,1.1505588428665363,0.0167317512766596,53.34689922277207,0.0,NEUTRO
AVAX-USDT,2025-05-12 19:00:00,24.439,43.50085457649498,-0.0857789261696702,0.055291873952056356,0,0.13262836136173525,-1.859288410569436,0.014613692033046854,34.43848000318768,0.0,NEUTRO
UNI-USDT,2025-05-12 19:00:00,6.788,41.44094801828674,-0.03728453391794506,0.002214551076930603,0,0.05755135836036361,-1.9174360975045852,0.011428486284326578,34.04361237301011,0.0,NEUTRO
BCH-USDT,2025-05-12 19:00:00,405.89,43.29367168770382,-1.1494472576583235,-0.45696637978630217,0,0.14625990933802518,-0.9782873871675997,0.008347203935110459,16.748615971275875,0.0,NEUTRO
LINK-USDT,2025-05-12 19:00:00,16.4425,38.8340739702551,-0.08438916020887532,0.03656434475259432,0,0.011527933770701214,-2.6961611068700058,0.010260821480138738,52.599322673035,0.0,NEUTRO
