symbol,timestamp,price,rsi,macd,macd_signal,ema_trend,bollinger_pos,momentum,volatility,volume_relative_%,sentiment_score,signal,prediction,confidence,real_price,score_3h,delta_pct,trend_BTC-USDT,trend_ETH-USDT
BTC-USDT,2025-05-13 17:28:29,104435.4,61.17419720021995,355.10847063221445,167.52240048434038,1,0.846430436495755,0.7306282245300108,0.003334453088616,83.55001796723175,0.0,NEUTRO,LONG,0.99928457,,1,0.334560886442728,,
ETH-USDT,2025-05-13 17:28:29,2676.33,75.25594459079277,46.05221328681182,23.92520258603184,1,0.9562049336843512,4.324082014500656,0.0056325678341735,59.1987577222845,0.0,NEUTRO,SHORT,0.9929443,,0,-0.23950708619639038,,
SOL-USDT,2025-05-13 17:28:29,181.689,71.07035271506805,1.930863918766704,0.8752151820553168,1,0.9872099990204009,3.1796240558805096,0.0020048996451602,84.31271570534633,0.0,NEUTRO,SHORT,0.99825674,,1,-1.4469780779243602,,
XRP-USDT,2025-05-13 17:28:29,2.58366,63.709328962724726,0.0240000517945557,0.0199915185936398,1,0.8655145440803936,1.5753325024866447,0.000828968979516,40.40330223060796,0.0,NEUTRO,LONG,0.7544557,,0,-0.08282823591340396,,
ADA-USDT,2025-05-13 17:28:29,0.8313,62.23331221521338,0.0051022863036406,0.0003095565753833,1,0.967633916817379,3.164556962025326,0.0041926209870627,65.13342576958398,0.0,NEUTRO,LONG,0.9995472,,1,0.4210273066281664,,
DOGE-USDT,2025-05-13 17:28:29,0.2386,63.16318569469964,0.0020573235996971,0.0002559559968073,1,0.8912561491177634,2.399038667868337,0.0017571751317881,30.15612840468788,0.0,NEUTRO,LONG,0.9993388,,1,0.3394803017602704,,
DOT-USDT,2025-05-13 17:28:29,5.2084,64.50489466347236,0.0302559452130646,-0.0003759852544249,1,0.9731102036434256,3.263412506443556,0.0005948383382903,63.13017951436258,0.0,NEUTRO,LONG,0.7197365,,0,0.059519238153749335,,
TRX-USDT,2025-05-13 17:28:29,0.2719,63.32265735332091,0.0009041027721832,3.609578274068885e-05,1,0.9263676114593218,1.3795674869500305,0.0003679175864605,37.00526707602144,0.0,NEUTRO,LONG,0.99868566,,0,-0.0367782272894406,,
LTC-USDT,2025-05-13 17:28:29,104.283,60.03975835475679,0.3688190896770891,0.1497412673645435,1,1.0105569519288689,3.10553479266774,0.0026729484159415,53.72731832306837,0.0,NEUTRO,LONG,0.99944454,,0,-0.18411438105924002,,
AVAX-USDT,2025-05-13 17:28:29,25.821,68.5857351317145,0.2503534034609487,0.078933840942193,1,0.9849716744032164,3.694630737721384,0.0003099213574555,53.40882501202987,0.0,NEUTRO,SHORT,0.98835564,,1,-1.18895472677279,,
UNI-USDT,2025-05-13 17:28:29,7.1773,66.71736702749473,0.0711845432528974,0.0086170141847587,1,0.9922796428712078,4.739875957679676,0.0033604110254809,40.60181979377034,0.0,NEUTRO,SHORT,0.99929357,,1,-0.41937776043916264,,
